In which country were you born?,In which city were you born?,"In which languages (spoken, not programming!) are you proficient? (Please list languages separated by commas). ",Number of languages spoken,Which is your preferred OS?,Which is your preferred mobile OS?,"What field(s) do you think can benefit the most from visualization? (If you have multiple answers, please separate them with a comma)",Please rank the animals you like most in the following list.   [First Choice],Please rank the animals you like most in the following list.   [Second Choice],Please rank the animals you like most in the following list.   [Third Choice ],What is your favorite color?,What is your favorite number?,What temperature is it outside right now? (In Celsius) ,"On average, how many cups of coffee do you drink each day?",What time do you typically wake up? ,What time do you typically go to bed? ,What is your favorite visualization? 
United States of America,Long Island,"English, Hindi, French",3,Apple,Apple iOS,"Epidemiology, Health Science, Finance",Cat,Flying squirrel,Sea Turtle,Green,57,-2,1,9:00:00 AM,1:00:00 AM,Bar graph
United States of America,Danbury,"English, Mandarin",2,Apple,Apple iOS,"Finance, Healthcare",Elephant,Dolphin,Flying squirrel,Blue,17,-7,0,8:20:00 AM,1:10:00 AM,Scatterplot
United States of America,New York City,"English, Hindi, Spanish",3,Apple,Apple iOS,"Science, Business, every field",Elephant,Dolphin,Sea Turtle,blue,7,-1,0,10:00:00 AM,1:00:00 AM,graph
United States of America,Chicago,English,1,Apple,Apple iOS,Healthcare,Hedgehog,Elephant,Llama,grey,25,-9,0,9:00:00 AM,11:30:00 PM,Bar graph
United States of America,New Bedford,English,1,Apple,Apple iOS,Healthcare,Dog,Elephant,Hedgehog,Blue,10,-4,1,7:30:00 AM,9:00:00 PM,Visualizations that are interactive and very creative and artistic
United States of America,Denver,English ,1,Apple,Apple iOS,Data analyst ,Dolphin,Elephant,Hedgehog,Red,28,-8,3,8:30:00 AM,11:00:00 PM,Bar graph
United States of America,New York City,"Cantonese, Mandarin, English",3,Windows,Apple iOS,"Healthcare, Social Services, Science, Technology",Cat,Llama,Hedgehog,Green,24,-7,0,9:30:00 AM,2:30:00 AM,Pie chart
China,Shanghai,Chinese,3,Apple,Apple iOS,Can clearly show the complex data in a precise and easily understandable way ,Cat,Dolphin,Llama,Baby blue,8,-7,0,10:00:00 AM,2:00:00 AM,Bar graph
United States of America,New York City,English,1,Apple,Apple iOS,I would say the medical field and then the government.,Hedgehog,Sea Turtle,Cat,Purple,4,-7,0,9:00:00 AM,1:30:00 AM,I'm not really sure I have a favorite visualization but I always think the interactive maps they use during elections are really cool!
Greece,Athens,"Greek, English",2,Apple,Apple iOS,Marketing,Dog,Cat,Sea Turtle,blue,22,-7,0,9:30:00 AM,1:00:00 AM,choropleth map
United States of America,Manhattan,"English, Spanish",2,Apple,Apple iOS,"Medical, business/finance, environmental sciences (climates, sea levels, etc.)",Cat,Flying squirrel,Llama,Red,17,-7,0,10:00:00 AM,2:00:00 AM,NYC Subway Map!
United States of America,Washington DC,"Thai, English, French",z,Apple,Apple iOS,Healthcare,Llama,Sea Turtle,Elephant,Pink,111,-2,3,6:00:00 AM,1:00:00 AM,Bar graph
United States of America,New York City,English,1,Apple,Apple iOS,"Healthcare, Scientific Research, Economics, Finance",Cat,Llama,Elephant,Green,3,-6,0,9:00:00 AM,11:30:00 PM,Violin plot
United States of America,Boston,"English, Chinese",2,Apple,Apple iOS,"Finance, Marketing, Psychology",Flying squirrel,Llama,Cat,Black,2,-5,2,9:00:00 AM,1:00:00 AM,Scatterplot
United States of America,Pittsburgh,English,1,Windows,Apple iOS,"Neurology, Logistics, Environmental, Finance, AR",Hedgehog,Sea Turtle,Dolphin,Purple,21,-3,1.5,8:15:00 AM,12:30:00 AM,correlation and causation website https://www.tylervigen.com/spurious-correlations
United States of America,Dallas,English,1,Windows,Apple iOS,Healthcare,Dog,Dolphin,Hedgehog,Pink,11,-3,2,9:00:00 AM,12:00:00 AM,Bar graph
United States of America,Sacramento,English,1,Apple,Apple iOS,"Sports, Business, Medicine",Cat,Llama,Dolphin,Purple,9,-4,2,8:00:00 AM,11:00:00 PM,Pie chart
India,Kolkata,"English, Hindi, Bengali",3,Windows,Andriod,"Frontend Web Dev, Data Science",Cat,Dog,Elephant,Black,69,-3,0,8:00:00 AM,11:00:00 PM,Scatterplot
Brazil,São Paulo,"Portuguese, English, Spanish",3,Apple,Apple iOS,Finance,Elephant,Sea Turtle,Dolphin,Blue,69,17,2,8:00:00 AM,12:00:00 AM,My IG profile pic
United States of America,Philadelphia,English,1,Windows,Apple iOS,Healthcare,Sea Turtle,Moose,Elephant,Orange,2,1,0,9:00:00 AM,12:00:00 AM,Infographics
United States of America,Philadelphia,English,1,Windows,Apple iOS,"Finance, Health",Sea Turtle,Moose,Elephant,Orange,2,1,0,9:00:00 AM,12:00:00 AM,Histogram
United States of America,Long Island ,English,1,Apple,Apple iOS,Medical. I find a lot of charts regarding hospitalizations or other statistics around this field are hard to understand.,Dolphin,Llama,Flying squirrel,Black,72,2,2,10:00:00 AM,12:00:00 AM,Pie chart
United States of America,Weymouth,"English, Cantonese, Mandarin",3,Apple,Apple iOS,"Medicine/healthcare, climate",Hedgehog,Llama,Cat,navy,12,1,1,8:30:00 AM,1:00:00 AM,zoomable sunbursts
United States of America,Richmond,English,1,Apple,Apple iOS,"Criminology, any scientific research really ",Cat,Dog,Hedgehog,pink,21,2,1.5,12:00:00 PM,1:00:00 AM,line graph
United States of America,Barnstable,"English, Urdu, Hindi, Spanish",4,Windows,Apple iOS,"Marketing, Data/ Business Analytics",Elephant,Dolphin,Cat,Sage Green,21,2,0,9:00:00 AM,1:30:00 AM,Scatterplot
United States of America,Weymouth,"English, Mandarin, Cantonese",3,Apple,Apple iOS,"Medicine/healthcare, climate/environmental",Hedgehog,Llama,Cat,navy,12,1,1,8:30:00 AM,1:00:00 AM,zoomable sunbursts
India,Noida,English! ,1,Apple,Apple iOS,"I don't think there's a single field that can't benefit from visualization, definitely business, economics, geography, healthcare are fields that I'm certain could benefit.",Elephant,Sea Turtle,Mouse,I like all!,32,1,0,7:30:00 AM,12:00:00 AM,Interactive maps.
New Zealand,Auckland,"English, Swahili, Spanish",3,Windows,Apple iOS,IT and/or any industry that requires information processing and data analysis,Elephant,Moose,Cat,Green,17,2,0,9:00:00 AM,12:00:00 AM,Jean Ropke Map
United States of America,New Brunswick,"English, Mandarin",2,Apple,Apple iOS,"Psychology, sociology",Hedgehog,Llama,Flying squirrel,purple,24,2,0,9:00:00 AM,1:00:00 AM,network chord diagram
United States of America,Boston,English,1,Apple,Apple iOS,Healthcare,Cat,Elephant,Sea Turtle,blue,13,-1,0.5,8:00:00 AM,1:00:00 AM,data
United States of America,Carol Stream,"English, Spanish",2,Apple,Andriod,Medical diagnostics,Dog,Moose,Elephant,Green,3,0,1,10:00:00 AM,12:00:00 AM,Wordle https://www.nytimes.com/2022/01/03/technology/wordle-word-game-creator.html
United States of America,Seattle,English,1,Apple,Apple iOS,"Science, Health ",Elephant,Sea Turtle,Moose,Blue,3,0,0,9:30:00 AM,2:00:00 AM,Pie chart
United States of America,Baltimore,English,1,Apple,Apple iOS,Finance,Llama,Hedgehog,Dolphin,Purple,69,0,0,9:30:00 AM,12:00:00 PM,Pie chart
United States of America,Lawrence,English,1,Windows,Apple iOS,"Data science, but really all of them",Dog,Cat,Hedgehog,Blue,2,-1,0,10:00:00 AM,11:00:00 AM,Pie chart
United States of America,Albany,English,1,Apple,Apple iOS,"healthcare, biomedical research, public policy",Llama,Hedgehog,Sea Turtle,Yellow,8,-1,0,8:10:00 AM,2:30:00 AM,Bar graph
China,Beihai,English,1,Windows,Andriod,Data Science,Elephant,Dolphin,Sea Turtle,Navy,8,-2,0,10:00:00 AM,2:00:00 AM,Bar graph
United States of America,Gainesville,"English, Mandarin",2,Windows,Apple iOS,Business,Cat,Hedgehog,Flying squirrel,Red,7,-4,0.5,8:00:00 AM,11:30:00 PM,Bar graph
United States of America,Needham,English,1,Apple,Apple iOS,Marketing,Elephant,Sea Turtle,Llama,Blue,3,-3,0,9:00:00 AM,12:00:00 AM,Bar graph
United States of America,Boston,English,1,Apple,Apple iOS,"Finance, tech, healthcare",Elephant,Sea Turtle,Hedgehog,Orange,7,-3,0,9:30:00 AM,1:00:00 AM,Bar graph
United States of America,Edison,"English, Gujurati",2,Apple,Apple iOS,Finance,Elephant,Dolphin,Flying squirrel,Blue,21,0,0,7:30:00 AM,11:00:00 PM,Bar graph
United States of America,Boston,"English, Chinese (Mandarin)",2,Apple,Apple iOS,"College websites (just the ux/ui), photography, restaurants",Cat,Sea Turtle,Moose,Pastel Mint,13,-3,0.5,10:00:00 AM,2:00:00 AM,Heat map
