country,continent,economic_status,coastal_population,waste_generation_rate(kg/person/day),%_plastic_in_waste_stream,%_Inadequately_managed_waste,%_littered_waste,waste_generation(kg/day),plastic_waste_generation(kg/day),inadequately_managed_plastic_waste(kg/day),plastic_waste_littered(kg/day),mismanaged_plastic_waste(kg/person/day),mismanaged_plastic_waste_in_2010(tonnes),mismanaged_plastic_waste_in_2025(tonnes)
Tuvalu,Oceania,UMI,11563,1.2,12,73,2,13876,1658,1218,33,0.108,457,861
Ukraine,Europe,LMI,6812799,0.79,13,49,2,5382111,696983,338841,13940,0.052,128765,233388
United Arab Emirates,Asia,HIC,2018302,1.66,12,0,2,3350381,400371,256,8007,0.004,3016,5910
United Kingdom,Europe,HIC,43258889,1.79,12,0,2,77433411,9253293,0,185066,0.004,67549,94165
United States,North America,HIC,112925034,2.58,13,0,2,291346588,37729383,0,754588,0.007,275424,336819
Uruguay,South America,HIC,2433597,2.1,12,8,2,5110554,610711,46861,12214,0.024,21562,8037
USVI,North America,HIC,134219,2.1,12,0,2,281860,33682,11,674,0.005,250,296
Vanuatu,Oceania,LMI,251851,3.28,9,81,2,826071,73933,60104,1479,0.245,22478,38006
Venezuela,South America,HIC,16094897,2.1,12,5,2,33799284,4039014,199585,80780,0.017,102333,154243
Vietnam,Asia,LMI,55858245,0.79,13,86,2,44128014,5714578,4909870,114292,0.09,1833819,4172828
Yemen,Asia,LMI,6048920,0.79,13,73,2,4778647,618835,451134,12377,0.077,169181,513907
